STATISTIQUES DISCORD (depuis 2025-01-01 jusqu'à 2025-12-28)
Total messages analysés: 32543

MESSAGES PAR JOUR
ms_bubu : 1
norazox : 1
the_wyter : 1
r4gde : 1
ronrongla : 1

2025-03
djcreeperytb : 287
shrimpcr4cot : 264
liaminou8 : 189
menthemis : 157
Deleted User : 75
razeaur : 45
theolympe : 45
noise_maker666 : 40
tom_16 : 31
shadow_gw10 : 26
w3ryoff : 9
kanaii_ : 6
dindon_mignon : 4
.powerdrake : 3
herocreeper : 2
ensahnori : 2
alex7209uwu : 1
and_ocelot : 1
lilyaa.9 : 1
vd3mz : 1
xtoas : 1
rorolepeorll_1 : 1
zorde33 : 1
darckwolf13 : 1

2025-04
royal_pizza67892 : 1367
shrimpcr4cot : 890
theolympe : 730
djcreeperytb : 660
menthemis : 361
tom_16 : 269
liaminou8 : 228
noise_maker666 : 127
Deleted User : 65
jinxy_off : 65
dyponmc : 53
kitsuwen_ : 49
shadow_gw10 : 24
herocreeper : 21
legentilfaucheur : 19
cryo_nix_ : 19
ovagne : 16
razeaur : 13
alex7209uwu : 13
wellannn. : 13
rorolepeorll_1 : 13
wamonixx : 12
xtoas : 9
master_kevomg : 6
serial_designation_m2 : 6
vulzee2_12403 : 6
w3ryoff : 6
diegonesta59 : 6
chabadas : 5
yukooff : 5
kanaii_ : 4
trajstudio : 4
dindon_mignon : 4
ms_bubu : 2
rtzlopo : 2
vd3mz : 2
djaxx38 : 2
dreep_09 : 1
pierroalbertosaureofficiel : 1
.powerdrake : 1
albiro036 : 1
takii1001 : 1
ryuuk.w2 : 1

2025-05
royal_pizza67892 : 960
shrimpcr4cot : 827
djcreeperytb : 600
nirvana580309 : 571
theolympe : 438
menthemis : 380
kitsuwen_ : 257
herocreeper : 152
noise_maker666 : 130
liaminou8 : 92
tom_16 : 49
satlim_ : 36
Deleted User : 23
xbeep. : 16
yuvii00 : 10
shadow_gw10 : 6
alex7209uwu : 5
.powerdrake : 3
nounoursoporifique : 3
vd3mz : 3
wamonixx : 3
ms_bubu : 2
xtoas : 2
serial_designation_m2 : 2
ovagne : 2
djibz38k : 2
genyaprime : 2
sylwalker_4557 : 2
w3ryoff : 1
komafeu : 1
sukuna.gojo2535 : 1
aw80904 : 1

2025-06
royal_pizza67892 : 399
shrimpcr4cot : 372
djcreeperytb : 258
kitsuwen_ : 220
menthemis : 164
nirvana580309 : 142
tom_16 : 66
liaminou8 : 54
shadow_gw10 : 41
herocreeper : 22
Deleted User : 14
noise_maker666 : 13
yuvii00 : 11
wamonixx : 6
w3ryoff : 6
moirans38430 : 3
alex7209uwu : 3
fayklord : 3
gagathe3807 : 2
wellannn. : 2
ms_bubu : 2
trajstudio : 2
ednamed_terra99 : 1

2025-07
djcreeperytb : 202
shrimpcr4cot : 116
noise_maker666 : 87
nirvana580309 : 63
royal_pizza67892 : 40
kitsuwen_ : 37
tom_16 : 21
w3ryoff : 18
menthemis : 17
liaminou8 : 17
shadow_gw10 : 10
benj997 : 9
herocreeper : 9
lilymama37_57400 : 5
rorolepeorll_1 : 2
__a_m_b_r_e__ : 2
selver_0ff : 1
ednamed_terra99 : 1
xtoas : 1
ms_bubu : 1

2025-08
kitsuwen_ : 704
nirvana580309 : 639
royal_pizza67892 : 445
noise_maker666 : 413
legends.gw : 408
djcreeperytb : 394
theolympe : 388
shrimpcr4cot : 175
tom_16 : 93
jai_perdu_mon_phone_dans_leau : 86
shadow_gw10 : 78
slowereuh : 20
liaminou8 : 11
menthemis : 8
cryoxx_ : 7
lilymama37_57400 : 6
cr4cot : 6
rorolepeorll_1 : 4
hinata.exedetemu : 2
darkjames12 : 2
moirans38430 : 1
anthony0358 : 1

2025-09
djcreeperytb : 572
kitsuwen_ : 426
signe_x : 384
legends.gw : 306
theolympe : 291
noise_maker666 : 240
nirvana580309 : 185
royal_pizza67892 : 116
shrimpcr4cot : 84
uufheonixredkps : 40
lilymama37_57400 : 19
gitan2_ikea : 11
menthemis : 9
darkjames12 : 5
tytytylian : 3
scratcher42 : 3
moirans38430 : 2
yuvii00 : 1
angelobg : 1
djcreeper : 1
salutlastreet : 1
serial_designation_m2 : 1
tom_16 : 1

2025-10
djcreeperytb : 1143
kitsuwen_ : 794
legends.gw : 745
nirvana580309 : 340
kpopfan908 : 260
Deleted User : 220
shrimpcr4cot : 212
signe_x : 206
noise_maker666 : 140
menthemis : 94
zenix637_22408 : 71
levraishinichiro : 66
ms_bubu : 42
royal_pizza67892 : 25
theolympe : 22
thepandaroux__ : 13
zerox3008_pro : 12
scratcher42 : 9
reversedjcreeper : 8
serial_designation_m2 : 6
liaminou8 : 5
tom_16 : 4
w3ryoff : 4
rorolepeorll_1 : 3
pandarouxsuperieur_ : 2
herocreeper : 1

2025-11
kitsuwen_ : 649
djcreeperytb : 624
nirvana580309 : 262
noelevrai : 158
shrimpcr4cot : 141
signe_x : 117
lavraimia_laqueen : 95
noise_maker666 : 94
thepandaroux__ : 68
uufheonixredkps : 42
ms_bubu : 12
menthemis : 7
mail22_41 : 7
herocreeper : 5
moonyy.light : 3
ines92100. : 1
scratcher42 : 1

2025-12
kitsuwen_ : 616
djcreeperytb : 544
signe_x : 351
nirvana580309 : 253
razeaur : 150
thepandaroux__ : 145
noelevrai : 125
shrimpcr4cot : 107
mail22_41 : 70
noise_maker666 : 28
menthemis : 20
herocreeper : 16
ms_bubu : 14
trajstudio : 8
w3ryoff : 5
nat13119 : 4
scratcher42 : 2
.frozencat : 1

REACTIONS AUX ANNONCES
djcreeperytb : 134
shrimpcr4cot : 114
noise_maker666 : 77
shadow_gw10 : 75
menthemis : 67
nirvana580309 : 55
xtoas : 44
kitsuwen_ : 43
ms_bubu : 37
liaminou8 : 37
scratcher42 : 31
razeaur : 26
bibiboy_off : 24
moirans38430 : 24
herocreeper : 24
theolympe : 23
fayklord : 23
cryo_nix_ : 23
